stimulus_id,difficulty,file_path,path_length,start_position,target_position,initial_orientation,obstacle_count,egocentric_correct_response,allocentric_correct_response
easy_001,easy,stimuli/easy/1.png,4,"(1,4)","(0,0)",up,20,up,up
easy_002,easy,stimuli/easy/2.png,4,"(1,4)","(0,0)",right,20,left,up
easy_003,easy,stimuli/easy/3.png,4,"(1,4)","(0,0)",down,20,down,up
easy_004,easy,stimuli/easy/4.png,3,"(3,3)","(1,3)",up,21,up,up
easy_005,easy,stimuli/easy/5.png,3,"(3,3)","(1,3)",left,21,right,up
easy_006,easy,stimuli/easy/6.png,3,"(3,3)","(1,3)",right,21,left,up
easy_007,easy,stimuli/easy/7.png,2,"(4,3)","(3,2)",up,22,up,up
easy_008,easy,stimuli/easy/8.png,2,"(4,3)","(3,2)",down,22,down,up
easy_009,easy,stimuli/easy/9.png,2,"(4,3)","(3,2)",right,22,left,up
easy_010,easy,stimuli/easy/10.png,4,"(2,3)","(4,1)",down,20,up,down
easy_011,easy,stimuli/easy/11.png,4,"(2,3)","(4,1)",up,20,down,down
easy_012,easy,stimuli/easy/12.png,4,"(2,3)","(4,1)",left,20,left,down
easy_013,easy,stimuli/easy/13.png,4,"(4,4)","(0,4)",up,20,up,up
easy_014,easy,stimuli/easy/14.png,4,"(4,4)","(0,4)",right,20,left,up
easy_015,easy,stimuli/easy/15.png,5,"(4,0)","(0,1)",up,19,right,right
easy_016,easy,stimuli/easy/16.png,5,"(4,0)","(0,1)",right,19,up,right
easy_017,easy,stimuli/easy/17.png,5,"(4,3)","(0,2)",up,19,up,up
easy_018,easy,stimuli/easy/18.png,5,"(4,3)","(0,2)",right,19,left,up
easy_019,easy,stimuli/easy/19.png,5,"(3,0)","(4,4)",up,19,down,down
easy_020,easy,stimuli/easy/20.png,5,"(3,0)","(4,4)",down,19,up,down
easy_021,easy,stimuli/easy/21.png,7,"(4,2)","(0,4)",up,17,up,up
easy_022,easy,stimuli/easy/22.png,5,"(4,3)","(1,3)",down,19,left,right
easy_023,easy,stimuli/easy/23.png,5,"(4,3)","(1,3)",right,19,up,right
easy_024,easy,stimuli/easy/24.png,5,"(1,4)","(0,0)",down,19,right,left
easy_025,easy,stimuli/easy/25.png,7,"(4,2)","(0,4)",down,17,down,up
easy_026,easy,stimuli/easy/26.png,7,"(4,0)","(0,3)",down,17,down,up
easy_027,easy,stimuli/easy/27.png,4,"(0,3)","(2,2)",down,20,right,left
easy_028,easy,stimuli/easy/28.png,4,"(0,3)","(2,2)",left,20,up,left
easy_029,easy,stimuli/easy/29.png,4,"(1,1)","(4,3)",down,20,up,down
